region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARM,Armenia,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0058397770939512305,0.0051565232626051795,0.00300109639725066,0.00273699995050702,0.00288479802390046,0.0030838490419621903,0.0032647291467809,0.00337315340374995,0.00361939360180914,0.00373883359068989,0.00395942477265728,0.00433952955080371,0.004912347451420221,0.0056000760946952,0.00618808408457212,0.00704822777227278,0.00797859383817516,0.009071661194128559,0.0096976058165624,0.00833024339635924,0.00851350875109706,0.00891364366228574,0.009555426006056321,0.00987075506425618,0.0102261022466276,0.010553337518414,0.010574444193432501,0.011367527508113501,0.011958638938496,0.0128674954976469,0.011941035821918501,0.0126336158996682,0.0142254515029981,0.0154061639776894,0.0163151276524443
ASM,American Samoa,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000744923664122138,0.000752116030534351,0.0007551984732824431,0.000752116030534351,0.000721291603053435,0.0007346488549618321,0.0007151267175572521,0.000685329770992367,0.000687384732824428,0.000687384732824428,0.000657587786259542,0.000641148091603054,0.000652450381679389,0.000673,0.000661697709923664,0.00061546106870229,0.000631900763358779,0.000628818320610687,0.0006565603053435109,0.000651422900763359,0.0006627251908396949,,
ATG,Antigua and Barbuda,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,0.000387163203126708,0.000404134550442489,0.000436786384138376,0.000472436818308071,0.000490457675789685,0.000490048110846921,0.0005163334037807369,0.000568819882561907,0.000612299589432117,0.000682675279820441,0.0007279102650167821,0.000765857188329832,0.000806082316637007,0.000830360009985309,0.000848435719914615,0.0008582652785409499,0.000903580713993905,0.000963907435965129,0.00092188314737367,0.0009827730211411931,0.00103654304719835,0.0010855847922644898,0.00112583551838058,0.0011956773116113802,0.0011412965949699199,0.0011530203914565402,0.00122308525130795,0.0012936218422095,0.0013773669025151898,0.00155240471992894,0.00169701405619323,0.0016967763622532301,0.00149379305115554,0.00137667210484443,0.0013497066415592402,0.00139523417314327,0.00138684906230615,0.00141733605273314,0.00143748518518519,0.00149671485820258,0.0015373166399839,0.00164050140775149,0.00169254175329144,0.0013731798323414,0.00148540794031841,0.00162069601730498,0.0016600361927894,0.0017318746151161598
AUS,Australia,GDP,trillion USD2015,0.20455649602061599,0.209634264251724,0.21234739491594698,0.225547290344075,0.24129086566432598,0.255720398204709,0.261804000641526,0.278310424154664,0.292486739692211,0.31309323245328496,0.335559847086201,0.348984184857752,0.362631046662097,0.37213052088969395,0.38741434109621004,0.39258930373244705,0.402751234563422,0.417230643180121,0.420958560166314,0.438009144460798,0.451305594857179,0.466379040331542,0.481887942318357,0.471169061968518,0.492813360779094,0.518826292325462,0.5394046498639979,0.553211370887306,0.585064279420793,0.607725922300842,0.62946677607967,0.627060575115855,0.629746209994416,0.655230327244458,0.6813110390996661,0.707786283507272,0.735134359250411,0.763901984857931,0.799524373774542,0.839721933537843,0.8726516537702581,0.890323770708066,0.925754967998798,0.954367849882364,0.994683066030821,1.0260570363443,1.0543284589361601,1.09411166360391,1.1333494286165702,1.15479869918001,1.1804350024065,1.2088490194216799,1.25619612289384,1.28888477542406,1.32233499727341,1.35129637225431,1.38858385479563,1.42023789846073,1.46111901624431,1.49284787402389,1.49106256626652,1.52254140422763,1.58713348080453,1.64176249141885,1.665257959985
AUT,Austria,GDP,trillion USD2015,0.0838286731665112,0.0884710877480584,0.0908143994313997,0.0945725422824671,0.10036449931051401,0.10385735944209,0.109717886300462,0.113018252763066,0.11807278252790199,0.125482873518636,0.134420862375869,0.141296447063219,0.150067933491104,0.157406909711428,0.16361210762272602,0.163016991844158,0.17048063501767402,0.179141019237625,0.178763652138156,0.18833948458362298,0.19160055544236498,0.191324085936135,0.195172100328629,0.20097473830701199,0.201077788420254,0.206102076591173,0.21084529493165602,0.213706819792775,0.22075033973274702,0.229331070530385,0.239296977478175,0.247532688033224,0.252714845320178,0.254046171814293,0.260148661734735,0.267089386116812,0.27300746494444,0.27886575483070697,0.288606201090647,0.299463348050583,0.309014800203266,0.313084486481847,0.31773181484185,0.32135893017828804,0.329602607297434,0.337250591306488,0.348276446349075,0.361424664731668,0.366677269701416,0.35352725212164,0.35992249799932596,0.370459113959145,0.372786509411403,0.371851835129742,0.374662287024534,0.379546097300633,0.387581921834297,0.396388751744592,0.406235924915185,0.413365268699049,0.38724779656050096,0.405817601897046,0.427236226728298,0.423156280851067,0.41819037036667295
AZE,Azerbaijan,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0205670693810762,0.0204230998592725,0.015807479224406798,0.012155951726088101,0.00976122908532423,0.008609404140357189,0.00872132634292474,0.009227163283718259,0.010149879576246001,0.0109009707967945,0.0121109784618648,0.0133099652921306,0.0145662817812554,0.0160532515259443,0.0175387875285628,0.022442902280119498,0.030178119967297502,0.0378624398109789,0.041872616381686,0.0457958723393796,0.047988960053705,0.0472340948536774,0.04827463316121779,0.051095520684587996,0.052524961528705,0.053076235354746,0.0514501926292354,0.0515292276608621,0.0523023730722866,0.053599371992657,0.051348755377759694,0.054232727552224406,0.0567896273168954,0.057558829937626406,0.0599022813515774
BDI,Burundi,GDP,trillion USD2015,0.000798536036456817,0.000688768194430732,0.0007511923436902241,0.0007822572076236021,0.0008313284987401231,0.000864309175839385,0.0009041796967166751,0.00102915106169467,0.00102608538870651,0.00101110925030161,0.00122673507977048,0.00126043139116348,0.0011797138069813001,0.0012609848894828502,0.0012518195524258398,0.00126055625440312,0.0013606779641039,0.00151674028427566,0.00150247418935523,0.00152748970774691,0.00154262798194595,0.00173026207440731,0.00171203203630219,0.00177563962464819,0.00177840152563402,0.00198795378169961,0.00205256586706033,0.00216552053964117,0.0022744684056735403,0.002305162407677,0.00238583899189422,0.00250505546422991,0.00253035648361119,0.00237246223899867,0.0022815969353352098,0.00210089445797115,0.0019328229013767198,0.00190209101730555,0.0019924403405342903,0.00197231669316467,0.00195541662030264,0.00199561621418073,0.00208435167653824,0.00205884488228283,0.00215836239786831,0.0021777876594685896,0.0022956888833779603,0.00237493488281749,0.00249039748072402,0.0025853499952736302,0.00271782746544662,0.00282742657550415,0.00295315393204472,0.0030985728396490998,0.00322997247540545,0.00310400354626497,0.00308537949676838,0.00310080643320295,0.00315072741431633,0.0032078364068824803,0.00321833106479216,0.00331809932775908,0.0033794509657308,0.00346953156962627,0.00359059156667407
BEL,Belgium,GDP,trillion USD2015,0.107240692072238,0.112579587419489,0.118447239466498,0.123601570921194,0.13220014253576198,0.136907339919271,0.14122799178941,0.14669089804198002,0.15284330445386,0.162976509539664,0.17332987281363102,0.180238502024186,0.189783220555824,0.20189461975801598,0.211111631064729,0.206961299090215,0.21866029577664098,0.220029447215922,0.22628245707275502,0.231579894681772,0.241871430005578,0.241195922803815,0.242631006628437,0.243387634461423,0.249390504366821,0.253509919187379,0.258130801744636,0.264085000894302,0.276558286707311,0.286152555458327,0.295130312078184,0.300540270315165,0.30514050424267997,0.30220543988558196,0.311957523163918,0.319396952810439,0.323617566812874,0.335894554716996,0.342484242936573,0.354617493817972,0.367797580320048,0.37184189584295396,0.378188843981109,0.382114274683528,0.395760365336901,0.40494888384734495,0.415284559725448,0.430554259966472,0.43247842904482703,0.424233482718834,0.43573153159861605,0.444146182962729,0.445104666468521,0.44646443696224,0.454346946885841,0.461044767544531,0.466547349432055,0.47342643901071996,0.482317238282145,0.49409971808056896,0.470417598101755,0.49961924004063596,0.5208998257830609,0.527159436181933,0.5325306564290709
BEN,Benin,GDP,trillion USD2015,0.00165112063115842,0.00170298696085679,0.00164463564837988,0.00172242737456795,0.00183698187040947,0.00193422917081725,0.0020033945508974,0.00202499913102193,0.00210280639423342,0.00216331460562541,0.00220869570175521,0.00217563502067241,0.00231544932353487,0.00240126370334438,0.0024814493941220997,0.0023599738741975997,0.0023808444526075704,0.00249949773405871,0.00253086838092301,0.00269627954570683,0.00287913485771386,0.00316573059706271,0.00323648677618013,0.00309577006830471,0.00334125966803857,0.00359286737472505,0.00367087361285602,0.00361581040028745,0.00373893761384945,0.00363222233349652,0.00395825549040473,0.00412552342798874,0.00424754448109719,0.00449543848640154,0.00458626434570312,0.00486351313603406,0.00507382525793663,0.00536479332518214,0.00557729343998873,0.00587520174541607,0.00621935427265514,0.0065510408760552,0.00685520772628555,0.00709127206748876,0.007405393050933851,0.007532259620478619,0.0078293122677691,0.00829800224961043,0.00870432032621926,0.008906198943309811,0.00909448175364081,0.009364019722086081,0.009814543622240709,0.0105203500218969,0.011189200116267,0.0113881609967738,0.0117684883833269,0.0124359454927429,0.0132688123026618,0.0141798073746843,0.0147255587232985,0.0157792389573117,0.0167659064147949,0.017831007125978803,0.019159972710824102
BFA,Burkina Faso,GDP,trillion USD2015,0.00116678278598608,0.0012139666415058,0.00128836821422299,0.0012720314943260801,0.00130106967381082,0.00135004903211506,0.00135730707234754,0.00147706655051673,0.00152242392519439,0.0015532694676991998,0.0015550870975831101,0.0015770657637258101,0.00161351961900794,0.0016207696048328199,0.00175507348655337,0.00180769730980526,0.0019619823764042,0.00196924864805364,0.00205998817956406,0.00213547894953865,0.00215249613024403,0.00224409137114198,0.00245867580042369,0.00246718244350436,0.0024232987511015,0.0026296999505581497,0.0028389021203027703,0.00283219275018472,0.00299633511395777,0.00306076432726471,0.00304231010750399,0.00331824716144233,0.0033259690796916498,0.00344109367250713,0.0034863443045404703,0.00368563677912882,0.00409160023031209,0.00435005985487114,0.00466795003301846,0.005013156038397601,0.00510782818120084,0.00544562958360137,0.0056826758696848405,0.00612606630713183,0.00640041925455947,0.0069548154564763,0.0073897115207284,0.00769353056965392,0.0081397547072893,0.00838085024173524,0.00908872045170527,0.00969062665434607,0.010315931043874599,0.0109134901021529,0.01138569997003,0.0118321593156298,0.0125371166116541,0.0133148553131302,0.0141942441286065,0.015030172259379101,0.015332394848520099,0.0163968501825889,0.0166423503397932,0.0171349941113648,0.0179891912179315
