region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BGD,Bangladesh,Carbon Intensity,kg CO2 / $,0.09938843179550247,0.09703721911886098,0.10111306151842916,0.11677109928295287,0.1082038607888298,0.11174504695893347,0.1108685889205149,0.11991852965738983,0.12559177176592107,0.12034283110007131,0.11557660894419616,0.11593131345083975,0.13102866678088432,0.16456522947049051,0.15357414860553165,0.16712773921506194,0.18094035611734266,0.18349211003406043,0.17728476703832913,0.18692032770559971,0.21300644496230134,0.20619118246613147,0.21893561210732812,0.20178578218129745,0.21343850976451414,0.23183782947959586,0.24912373326117657,0.24835859523949713,0.27699885677880454,0.2674382320340006,0.2664324605540056,0.26953352812864995,0.2666822070229156,0.2659926586134272,0.27954514375659595,0.31905237875612097,0.3117903532501097,0.32106509727018534,0.3062111287188597,0.3162219559685266,0.3176871078429507,0.353746533056102,0.3510759953986579,0.35068065021286526,0.35798066533093,0.35220168505738614,0.36533655262830567,0.3490496531055071,0.3497780427782027,0.36125724522073926,0.37591358832103866,0.3698615658405181,0.37260396529269657,0.3577823389563809,0.36025229171226764,0.3745914767368797,0.3644339924014824,0.36233495315034286,0.34518069563217346,0.390626168931759,0.3507052499112485,0.37942927444566227,0.3743393480074469,0.3518608032046537
BGR,Bulgaria,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,2.5427289090203806,2.512945854741756,2.7547982665298165,2.6698708623923992,2.4956858679647,2.491235162122101,2.4429207302524327,2.3060064594712513,2.041697796943873,2.0769985017617785,1.988323449789621,1.743894935732283,1.7535057131975451,1.811933523031791,1.7177516936281696,1.7154486629913879,1.6458307140701616,1.8296014889088352,1.6782899248913437,1.6000313551547711,1.5009139298001328,1.5574201035615325,1.3847315941078184,1.4396588398810914,1.325939228670646,1.2650129345444137,1.213343271920848,1.2215379627619474,1.1170931146112615,0.9790845949226875,1.0074863269164303,1.0961526514029079,0.9889549054349084,0.8784893277885204,0.9216604346973657,0.9495314767849614,0.8683980796960933,0.8842905421157521,0.7907461712755969,0.7389851877335629,0.661958180618576,0.7110610618184872,0.7568403215964056,0.5705332145924072
BHR,Bahrain,Carbon Intensity,kg CO2 / $,,,,,,,,,,,0.6613405776614704,0.7631959336552058,0.8321668630791952,1.095686369503178,0.9886446786428547,1.1543479431793178,1.0110263051425286,1.0163116959158995,1.0174288446200908,1.0297415935401648,0.9735163431059358,1.1113539448855934,1.3873064478473043,1.0907604705381833,1.1623819873625956,1.3512001116666157,1.442522789684668,1.356247581966633,1.3403085851191758,1.2884499653383157,1.217016376283967,1.0784486179622799,0.9281117464609394,1.323941927044083,1.1373611451596677,1.1242474021190347,1.1676173269188501,1.2234316743995566,1.2390500879027793,1.1865385154176498,1.1851702640183128,0.923989225465026,0.9233051134747726,0.916824382212435,0.9091993524766049,0.9438886491638406,0.8692105663705111,1.1084728834535456,1.1568808459780622,1.0737163922443271,1.0649082549430857,1.022923959036267,0.9352994485617764,1.019156959900563,0.9713208712454321,0.9956811075528517,0.9290802062593227,0.9196115153849745,0.8985285451591104,1.0096511268899806,1.0641515261382102,1.0328658513289894,0.9635626179160256,0.9476537959360516
BHS,Bahamas,Carbon Intensity,kg CO2 / $,0.18787306296814432,0.2258469564377722,0.27171880156343114,0.23963762019166096,0.3325990179625862,0.3653035951267619,0.2780115051372658,0.3951767265900749,0.34877892706086716,0.3422617314496316,0.5353031310918938,1.3787287922232614,1.3771784922207986,1.5531774307067798,1.7511622805501614,2.2967336401674783,1.709873143969059,2.35517772934402,1.401600647623205,1.1648169080570667,1.2608639566860382,0.48758528533148826,0.3688008880638852,0.3175172348481011,0.25596281747427274,0.1988114496722243,0.18250296527834237,0.17859486793524973,0.18895991983264257,0.2238408172014293,0.23646789552331285,0.24365848236636353,0.23708039556329338,0.22059602673823356,0.21700672648438704,0.2160815478001692,0.20443412130415242,0.17900112794912518,0.21143394869617038,0.20169707363091058,0.1929652304525982,0.18054730438531696,0.18406867126033333,0.18944451537869528,0.18579332370791618,0.16715429808230728,0.15866113625052802,0.1579448930791744,0.1654995990428559,0.1941760647492087,0.19773816976142491,0.18651248494515033,0.17318896046567228,0.17638372441801772,0.18225009070981046,0.1897371088734203,0.18882521053695248,0.20750736986206098,0.19554680931267931,0.1998864726506794,0.22251091232912623,0.21639127192195703,0.1938398355705658,0.19725021414633515
BIH,Bosnia and Herzegovina,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.649779000392321,4.409384334247336,5.034065057454014,4.308001877728368,0.9875472277835445,0.9039302321754824,0.7305157645493701,1.054967015770556,1.140908285858158,1.0202603617409447,1.2834081123800625,1.2128614925613472,1.2340205645228859,1.203627885599678,1.219092350370964,1.2176452669430566,1.2516309167552913,1.1883287509653768,1.2871998591404992,1.3655325482383194,1.3939327960778987,1.5514666696712356,1.4572018245774299,1.402318113708995,1.2280305093557486,1.1253412537249756,1.2830731021754238,1.267106290278011,1.2159264174666882,1.1140992519414363,1.1499178607425522,1.0454724768070498,0.98742134042963,0.9308144096739367
BLR,Belarus,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6808089389484717,3.5785713561340264,3.5558326491525274,3.316393643606129,3.1645658504927017,3.1690249985959626,3.124675591842232,2.798264858767567,2.517926796859464,2.349685013584469,2.10365248663256,1.9756973941277296,1.875273738100139,1.7923550609862606,1.700631915164432,1.5827078621026123,1.4978555637652686,1.345165050436275,1.2737317974505653,1.2254963925949613,1.1724115686814818,1.0905301917767394,1.093864170561182,1.110412256588602,1.0842555080686382,1.0415224723975225,1.0564437417716959,1.0524612060351666,1.0680118530207032,1.0517575820466116,1.0070288321801648,1.0143925095720077,1.0368264852884828,0.9472182164915444
BLZ,Belize,Carbon Intensity,kg CO2 / $,0.30968739066444184,0.24603605995596756,0.44566373699534245,0.3799212195117139,0.48953490481394135,0.4665323366423352,0.4259279585090399,0.6089723746866275,0.48124912504802764,0.6050406986234341,0.5148771773235149,0.5853159684277621,0.5855183335418633,0.5169989793452492,0.47802835416152584,0.5273706188903292,0.5275500963626817,0.5572890492093828,0.5642006421632674,0.5069664220078037,0.41254200370736555,0.3922298727884346,0.3690899864899549,0.3771898977558658,0.3698803290734445,0.4051517558139434,0.41733926563834045,0.4172914976608608,0.4168693673826173,0.4448205172815735,0.41373615281418286,0.48334896183775744,0.37468475387953154,0.37485267369099046,0.37128686041580716,0.37219897991922174,0.3002200605604601,0.36345622451922394,0.3333434373946294,0.2865354298421207,0.29022113996050514,0.312248794720827,0.2865458925945749,0.2612880741962708,0.2261202622959909,0.23774950746648926,0.23935543509949006,0.2488153359252121,0.23165849624200885,0.2755589274584005,0.2841196447436555,0.29256624409530163,0.22972880228047163,0.21456809816255526,0.2200045926470416,0.29237819475160165,0.285539498067982,0.2857095284924654,0.27752545471479345,0.31133407551654035,0.3128948182752662,0.2654779425349866,0.2555895441635808,0.2685677294161722
BMU,Bermuda,Carbon Intensity,kg CO2 / $,0.09353856644269114,0.09974698506764551,0.08553333404993496,0.08069163891116042,0.09742136754414552,0.08284992552597653,0.08131502053298667,0.0757010418697789,0.07797503336300962,0.06673382028540441,0.07207098115781538,0.07079967741164321,0.07616192513811972,0.1261684031480739,0.1304622903395315,0.1298810256584996,0.12208549991918301,0.11168384489082829,0.10298232427786776,0.10950791227700493,0.09581283906150947,0.0833611021182,0.08967357102154297,0.100116955528758,0.09801718240476472,0.10167433039770196,0.08912003045397018,0.11652362285014378,0.12633799562138023,0.1522220592722626,0.09788927830499006,0.10888281584807166,0.09338391375237329,0.10576586241323437,0.1037050417953388,0.09933514157373037,0.09614972174288201,0.09128299672343076,0.08724220789874167,0.08319911212062668,0.07665163844729483,0.07300946297224124,0.07822149413416317,0.07613922364265018,0.07733003870796497,0.07605669290516061,0.08067283439136566,0.08727107654120755,0.07909896966108447,0.06155902892265069,0.08062406689060352,0.06105321071788908,0.053284078691252734,0.0780129638155589,0.10154149169704935,0.08093841483582413,0.09366723395469982,0.09254212523781397,0.10207765349947417,0.08676816025206538,0.07185681764009756,0.07798629832058027,0.07274197761326724,0.07270668897426928
BRA,Brazil,Carbon Intensity,kg CO2 / $,0.2485984325583242,0.2400724365607795,0.24572933004122824,0.2529648255047563,0.2495081112491663,0.24216674448412884,0.2587514111402797,0.2555597088580483,0.2721980795926483,0.27067864740184044,0.2725872334089758,0.2679902688980742,0.2667325430106358,0.27107385219462354,0.27142831700298164,0.2712871373981989,0.253055539052402,0.2532544935391508,0.263187381157392,0.26137466432885403,0.23731922922081458,0.22806332904013565,0.22641738004651882,0.2256354023300127,0.2162272577492545,0.21549649434177856,0.2195452406424794,0.22144476390916296,0.22343623907282012,0.2211551599081974,0.238394406371646,0.24754432742711888,0.2534632201681244,0.2526368448732027,0.24814015716549465,0.2518402527600735,0.26531965543288194,0.2722524586038523,0.28053725465163243,0.28793857723574395,0.2867308860893401,0.287774031186042,0.2805372119217626,0.2748843902712701,0.2725748635727408,0.2662636826003573,0.2592794305737029,0.2588235142346987,0.2601908393720877,0.24608407005879354,0.2585027383364492,0.2612205702876055,0.27609263812778817,0.28638565891012957,0.29858811772542365,0.29372401207716753,0.28267299591153056,0.28210682738995,0.2661007480542099,0.26014956945279805,0.2529510096164795,0.270091636558575,0.2547192446979913,0.2480622430436083
BRB,Barbados,Carbon Intensity,kg CO2 / $,0.10103700171502479,0.10579295597584232,0.12994833425370572,0.10026532321413989,0.0899775221456065,0.09227944389547896,0.11566244927408618,0.13175295116418176,0.160726475938953,0.16319041988075572,0.1330937968383667,0.14450309894729313,0.14809032561683488,0.13973124059044803,0.14990294043972954,0.17675350897506917,0.15844166582515365,0.16974251255702053,0.17290724564482465,0.1528042002070544,0.16425584424227588,0.17016667269706265,0.1684105666836768,0.1780437770909257,0.18736405598443337,0.2098199329996525,0.2160823326347497,0.216525038843708,0.2100230466900094,0.2121442632732683,0.28299670547976746,0.3274814364569293,0.3334514151875413,0.266463834202445,0.2770831532967844,0.299492391679504,0.30062246338390197,0.33019280722908073,0.32487224793119995,0.3405354461650815,0.3448470963646998,0.3336242446095981,0.3321560050293627,0.3333067054967314,0.33266978736168645,0.32788178007509616,0.311336389712667,0.3096457579355905,0.35537246675878775,0.35952656811817796,0.33917306340416453,0.3595313993898694,0.33500051175227347,0.34193223847755266,0.31689444946467304,0.3189056862303591,0.31465308612098447,0.3051352736255088,0.3108241570502168,0.31088416362520943,0.27086464475011307,0.2816143508588364,0.23102198099432675,0.23075282530691243
