region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUT,Austria,Carbon Intensity,g CO2 / $,367.71169352937085,360.12539063972076,373.38736227078135,391.20080908074976,387.9915665292046,367.66311465158833,357.69414595473046,353.5347131419375,358.50867158642546,356.0265379329867,376.9653284027711,368.7429889008035,373.83527658216855,381.4625323732603,350.3832054332242,332.7207993936672,341.56043491727655,312.69038974503616,320.2466921703343,325.7255043746094,271.68106726041907,291.976857266415,274.62051714050244,257.2340717407376,269.78128969113135,263.96124261348075,254.99820520001097,268.6245135031527,239.9220278974502,234.23826933784503,259.8923264655198,265.783429018613,238.57351703726818,238.97439011980572,234.7892961394673,239.85615536442486,246.91746634926577,241.3522798825998,231.9316147669885,219.2845979652899,214.2422437685212,224.19101076976554,226.56963086581067,240.88930182154354,235.786729001921,234.53029243822274,220.50357291044818,205.00029028849562,200.3573180042316,190.37220181064578,200.04376081682923,188.66240220568676,180.42590966381454,182.2200680425214,171.24418723217767,174.83458363762912,173.43104467653848,175.58893380996224,163.86171219953437,164.38544718318965,160.56857423521996,162.02191443963258,143.8411211367061,134.4868497987375,134.78946627441448
AZE,Azerbaijan,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.452475209715,2451.8323246387263,3553.6596000807785,3982.090360910361,4297.087329496346,3868.949500189879,3582.288710532009,3234.2439690855117,3131.551752447628,2643.9474163843634,2457.713183598284,2134.901206742308,1961.4019813078157,1899.1531831131708,1838.954887955574,1523.5802172649278,1143.935609210894,793.3135014263638,788.9765413464752,635.4846892673309,574.070607930856,639.5852200648363,678.8258001519879,656.787271959656,653.8750420157338,653.462428750973,674.9628314968663,673.3708308568371,661.0834688034917,704.3469077402049,705.7067702060443,706.2090957230099,725.036898395397,742.6870405010714,664.9185915554009
BDI,Burundi,Carbon Intensity,g CO2 / $,45.621771477058005,69.30733169777106,58.530947991306306,60.890458452533736,57.29624338896864,42.39223766705542,52.679793820813366,46.28280703667148,53.562793705973085,72.47485865463189,50.77542904508281,58.13882494021085,62.116760494235336,58.11330541006981,73.17348560540763,61.03971935503458,64.62660697082127,65.22408682989811,68.28203820527939,71.96120500355781,95.0067039592538,91.05672622106592,92.02631531375769,115.5549792603065,123.61662809619138,116.1153755811411,114.2452984156087,115.05409227902538,99.87740407092116,116.03173776790057,87.5365021317665,95.07174727295461,85.4330215525542,95.75199818391182,102.77713664861147,113.36123958839558,125.11441158305425,130.98847412304272,125.04866265315013,128.1822543388534,138.65894213276977,102.81736465256932,101.95592346150865,81.8633795340229,91.66949915149141,72.34497785630987,81.39778928799859,78.68173622441175,80.91880977225095,83.61575817401861,122.68034091163639,146.43421816397662,132.7556940889132,140.715104199189,109.94711458077542,114.4998691859294,138.94174134786562,166.56881566093153,204.74530166888874,213.59193957957385,229.75564541110933,232.56588954420988,259.6644669518506,259.6075224278585,255.29597491662113
BEL,Belgium,Carbon Intensity,g CO2 / $,847.7697144603093,823.435700982941,827.5889932372701,855.0643847428696,783.3676868170036,769.3857795041956,744.2148735454299,731.9109239348613,774.9193875453668,757.7498219256057,724.0395786783387,673.4086651706162,688.3713786919594,686.708363374856,639.2530850853158,588.627585451938,593.0718324599295,573.5565391816923,598.5889326158822,603.6215453493845,557.4692803163202,512.3523041792135,482.66393148358816,415.8202460073181,420.90698157629964,410.2869836651879,396.59771898937845,388.4824065357445,360.6839948070903,373.2002312760734,407.73652644675786,410.58131031328855,401.5175063550988,401.88292353717753,400.1604060072783,394.39730039006275,400.173825968308,369.21523130953227,380.3262762035998,351.6989316352336,344.6887985598526,339.08237194260784,335.50207811006504,335.7425957662163,325.4791072709762,310.30506402645017,298.3507630388064,279.85648867296345,277.9429964259215,254.12137535191758,262.9202725123536,236.766564332216,230.2519892434953,230.28924821601566,213.67141123081169,219.77800242874176,213.9467355561947,209.70985784614467,207.86396226977868,201.9809451615689,193.9862678266517,190.0008249818864,170.6949469360005,160.67883523162948,160.47189452901603
BEN,Benin,Carbon Intensity,g CO2 / $,97.64035222968019,75.30298407891577,82.43041559603014,70.19860563370884,77.78846503702725,77.66608128266797,56.695771658718556,70.56595620753997,73.18220090161941,93.15334878984972,127.73511524280961,134.7284802895879,167.7359102841756,158.6897763328872,163.89776110823567,187.85970677355007,109.26543299167767,118.73745511186328,143.32471918895675,135.8909541050382,166.65623991162153,122.33856357913096,136.7361353162085,130.63328643531753,134.16973477360466,191.03773039291556,169.98747439427217,131.00682481361952,135.88074597368086,156.9739738401349,146.36404525142143,150.1991920613998,157.96097926700747,179.60911193159944,198.75148670766646,196.6207146612567,233.31621687876782,228.14948926318624,199.71264054599408,248.83162542301238,236.82973109862485,257.83749971304064,307.8031974220245,337.5977809766227,350.2312412266811,330.5422822847525,428.020517141687,473.72366043700885,450.2355311889709,474.3344044208618,514.5306616743079,478.3969908325728,448.5730155190135,434.0135877265779,426.6628490323868,466.99706087684837,451.2510117588975,446.6891740924049,427.20090384461815,371.83850981479407,376.2790958484391,367.93835543778687,363.37300349697654,332.4446537953051,316.6152060580944
BFA,Burkina Faso,Carbon Intensity,g CO2 / $,37.68310651141587,75.45512114433366,65.40987201459647,69.13036382529846,84.48433024962101,75.99131406307059,75.58495943188544,69.45658607197468,67.38727518808572,77.84354390169173,91.88938691735436,95.2553808822129,99.91573582422406,103.9901041440033,116.90906481810188,121.61328050196798,106.4474393407976,126.52135130129764,168.97184335963598,190.45095250780372,200.86075599633435,248.17527804876713,233.96659287119948,240.5853695833302,192.02254768979154,181.13093088772422,169.07381081134614,182.41131362486007,184.64690328619818,268.14740118637656,195.10437102908702,192.1303534613391,190.58264969160993,184.20655184843318,189.17236577611354,179.27713187294705,177.60378875460495,175.56142035340318,181.65356602481734,207.490416695262,182.22653634557258,195.45485741365837,187.8102460373328,193.348324163367,173.0312517215737,158.70449230872842,164.72000958670404,210.10477037952074,223.32580013764948,219.1072102528302,218.41094820576865,221.7868085341806,253.16047315497968,257.3768936113043,251.8527363069624,316.40645586534816,318.0664859118078,347.1033931926563,368.1947395851307,373.782833497189,366.41946427433476,385.97163650053653,393.1051510902263,368.1612631869038,361.75407967921694
BGD,Bangladesh,Carbon Intensity,g CO2 / $,99.38843179550246,97.03721911886097,101.11306151842918,116.77109928295286,108.20386078882981,111.74504695893347,110.86858892051491,119.91852965738983,125.59177176592107,120.34283110007131,115.57660894419617,115.93131345083974,131.02866678088432,164.56522947049052,153.57414860553166,167.12773921506192,180.94035611734265,183.49211003406046,177.2847670383291,186.92032770559973,213.00644496230134,206.19118246613147,218.93561210732815,201.78578218129744,213.43850976451412,231.83782947959585,249.1237332611766,248.35859523949713,276.99885677880457,267.4382320340006,266.4324605540056,269.734499226071,266.87280449904534,266.17517600897946,279.77918918983886,319.27460550801464,312.00296379864665,321.31841200178604,306.45295377542425,316.4529904268826,317.8626437753937,354.0806412847392,351.3575457506347,351.064667246518,358.30691304459015,352.5764963055773,365.65764158091565,349.31958009791254,350.0916863753442,361.5534951328696,376.2197115704512,363.55970091774253,366.5415429317899,375.04617449813463,368.8422965962385,394.2990904646722,391.1487366881926,388.3724888133701,362.20767785408805,367.531033547909,358.7337236143379,345.2734409301483,334.2196936330487,323.3317312635513,321.4820242277896
BGR,Bulgaria,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,2542.845350328438,2513.056939877751,2754.7982664781935,2669.870862337981,2495.6858679072784,2491.235162066662,2442.923778623956,2306.0962628633197,1979.3181596681682,2036.0588650199231,1985.6468766447138,1741.0015166755895,1750.430495089901,1808.7458219056327,1715.4000202914895,1713.043439320394,1643.5744954304248,1826.8149987123647,1675.2053549796194,1596.5988853579552,1497.8646269812825,1554.3231215191042,1381.903623618632,1436.9347186126604,1323.614053240914,1262.903885305893,1211.37595052033,1219.7514451550608,1115.3777692227784,977.2340955181519,1005.7101155039721,1094.4103523122346,987.2217664475512,875.5442924401768,919.9814793741966,948.0203452283657,866.953275339302,882.9006212933082,789.4101853228825,737.7179516256138,660.6356466487232,710.054542952836,756.0596768111496,545.5090346520509,486.316491013938
BHR,Bahrain,Carbon Intensity,g CO2 / $,,,,,,,,,,,661.3405776614703,763.1959336552057,832.1668630791951,1095.6863695031782,988.6446786428545,1154.3479431793176,1011.0263051425285,1016.3116959158998,1017.4288446200908,1029.7415935401646,973.5163431059357,1111.3539448855934,1387.306447847304,1090.7604705381832,1162.3819873625955,1351.2001116666156,1442.522789684668,1356.247581966633,1340.3085851191756,1288.4499653383157,1217.0163762839668,1078.4486179622797,928.1117464609395,1323.941927044083,1137.3611451596676,1124.2474021190349,1167.61732691885,1223.4316743995564,1239.050087902779,1186.5385154176497,1185.1702640183128,1185.2749295372953,1172.0679389137435,1150.0489387264472,1086.6453227554962,1175.3321860186222,1083.6224468625146,1108.4728834535454,1156.8808459780623,1075.2298840091235,1067.364875410734,1025.6720002484265,941.6520368744664,1026.6720968991751,976.1449425844271,999.9174740725854,936.9559363034627,928.8845330325111,904.1711408286725,1019.2295476501416,1077.8838476134247,1000.8227987827446,983.1609046782928,970.472552118773,947.3133853854282
BHS,Bahamas,Carbon Intensity,g CO2 / $,187.87306296814435,225.84695643777215,271.71880156343116,239.63762019166097,332.5990179625862,365.30359512676193,278.01150513726583,395.1767265900749,348.77892706086715,342.2617314496316,535.3031310918938,1378.7287922232613,1377.1784922207987,1553.17743070678,1751.1622805501615,2296.7336401674784,1709.8432445340907,2355.1629229977975,1401.5131163068243,1164.6914873872902,1260.7095027784765,487.5725238637092,368.76949237599416,317.505689865075,255.96281747427273,198.8114496722243,182.50296527834234,178.59486793524974,188.95991983264256,223.8408172014293,236.46789552331285,243.65848236636347,237.08039556329342,220.5960267382336,217.00672648438706,216.08154780016918,204.43412130415243,179.00112794912516,211.4339486961704,201.6970736309106,192.9652304525982,180.54730438531698,183.73761249907375,189.4445153786953,185.79332370791616,167.1542980823073,158.661136250528,157.9448930791744,165.81604187085372,194.1760647492087,198.06339701432202,186.18923973727308,172.87969446484072,173.19990267762034,175.99794351564887,188.49902007163615,191.95664023076594,208.41616126291666,198.20932260135422,205.25655699054838,209.07065587971596,236.22130200650798,231.48882777878256,224.19549331678877,225.1994538300281
