,AUS,ARG,BRA,CAN,CHN,EU27,IND,IDN,JPN,MEX,RUS,SAU,KOR,TUR,GBR,USA,ZAF
2005,0.31520000000000004,0.16710000000000003,0.40059999999999996,0.71625,0.00880000000000003,0.8097733333333333,0.10009999999999997,0.4273,0.36560000000000004,0.0022999999999999687,0.9989666666666667,0.41469999999999996,0.30600000000000005,0.06230000000000002,0.9854071428571428,0.41969999999999996,0.9555
2006,0.17279999999999995,0.00649999999999995,0.34919999999999995,0.7464,0.013399999999999967,0.799975,0.030399999999999983,0.5191,0.8366,0.10150000000000003,0.9990875,0.0534,0.37339999999999995,0.08430000000000004,0.9868866666666667,0.8491,0.68265
2007,0.12960000000000005,0.5589999999999999,0.032200000000000006,0.07030000000000003,0.032399999999999984,0.8049117647058823,0.02639999999999998,0.04910000000000003,0.07889999999999997,0.5402,0.999135294117647,0.8539,0.15080000000000005,0.008299999999999974,0.98704375,0.6778500000000001,0.13990000000000002
2008,0.20809999999999995,0.0030000000000000027,0.03280000000000005,0.8724000000000001,0.024900000000000033,0.8138500000000001,0.033499999999999974,0.8175,0.9815,0.55865,0.9991666666666666,0.009800000000000031,0.24270000000000003,0.6137,0.9877705882352941,0.7811666666666667,0.057499999999999996
2009,0.33220000000000005,0.9683,0.9735,0.9247,0.061899999999999955,0.8231842105263157,0.011099999999999999,0.09060000000000001,0.9879,0.6799999999999999,0.9991105263157894,0.04349999999999998,0.36129999999999995,0.3224,0.9888666666666667,0.837525,0.8745
2010,0.6213,0.62685,0.0,0.9275333333333333,0.007000000000000006,0.82702,0.08999999999999997,0.03490000000000004,0.945,0.749325,0.99922,0.0050000000000000044,0.027200000000000002,0.4879,0.9891894736842105,0.87068,0.8922
2011,0.62015,0.2168,0.031299999999999994,0.921325,0.0026000000000000467,0.8358952380952381,0.04190000000000005,0.013499999999999956,0.827225,0.0010000000000000009,0.9992904761904762,0.7824,0.07720000000000005,0.02529999999999999,0.98979,0.8921166666666667,0.8640333333333333
2012,0.5742666666666667,0.3498,0.0020000000000000018,0.91878,0.15390000000000004,0.8422909090909091,0.0042999999999999705,0.267,0.057499999999999996,0.01759999999999995,0.9992636363636364,0.0004999999999999449,0.37870000000000004,0.13080000000000003,0.9902952380952381,0.9084428571428571,0.885675
2013,0.649375,0.6783,0.0013999999999999568,0.9093833333333333,0.22660000000000002,0.849495652173913,0.0786,0.8161,0.32089999999999996,0.778,0.9992130434782609,0.8616,0.3224,0.7249,0.9906227272727273,0.9194375,0.89762
2014,0.70072,0.68345,0.01870000000000005,0.9108142857142857,0.4364,0.8567,0.0046000000000000485,0.74675,0.9601999999999999,0.86225,0.99925,0.8121499999999999,0.6353,0.10229999999999995,0.9909260869565217,0.9271555555555555,0.8578333333333333
2015,0.6362833333333333,0.24370000000000003,0.9924,0.9095875,0.6950000000000001,0.861384,0.050899999999999945,0.018100000000000005,0.97085,0.9025666666666666,0.999332,0.025599999999999956,0.54285,0.055499999999999994,0.9917291666666667,0.93449,0.8699714285714286
2016,0.09440000000000004,0.6425000000000001,0.99605,0.9167444444444445,0.7089,0.8656846153846154,0.012299999999999978,0.5487,0.9742666666666666,0.92125,0.9994076923076923,0.2047,0.4054,0.08520000000000005,0.991468,0.9407636363636364,0.88035
2017,0.27669999999999995,0.72705,0.9898666666666667,0.9117999999999999,0.1461,0.8716259259259259,0.06610000000000005,0.18030000000000002,0.97765,0.93736,0.9994703703703703,0.42810000000000004,0.17179999999999995,0.02629999999999999,0.9923923076923077,0.9470916666666667,0.8922444444444444
2018,0.4171,0.7946333333333333,0.992275,0.8979363636363636,0.07769999999999999,0.8769428571428571,0.0033999999999999586,0.07679999999999998,0.97974,0.9472833333333334,0.999425,0.34830000000000005,0.1784,0.7002999999999999,0.9924111111111111,0.9509384615384615,0.89698
2019,0.485,0.830525,0.99402,0.8821,0.0736,0.8807724137931034,0.36450000000000005,0.010499999999999954,0.9843666666666666,0.9545285714285714,0.9994,0.0027000000000000357,0.8947,0.83055,0.99275,0.954,0.8900363636363636
2020,0.9768,0.86138,0.9944833333333334,0.8909153846153846,0.21289999999999998,0.88426,0.9984,0.9542,0.9857571428571429,0.959925,0.9994566666666667,0.9968,0.93575,0.7868,0.9928344827586207,0.9565266666666666,0.899875
2021,0.9744,0.7219333333333333,0.9264142857142857,0.8964357142857143,0.06230000000000002,0.8877645161290323,0.0,0.8697,0.98775,0.9648666666666667,0.9994838709677419,0.71875,0.9199666666666667,0.0008000000000000229,0.9931,0.95969375,0.903976923076923
2022,0.9707,0.7512285714285714,0.93515,0.9006533333333333,0.04520000000000002,0.891928125,0.005600000000000049,0.0,0.9882888888888889,0.96807,0.999521875,0.8007,0.930625,0.8529,0.9934096774193548,0.9619529411764706,0.9118214285714286
2023,0.95955,0.7805124999999999,0.9420888888888889,0.90495625,0.03839999999999999,0.895209090909091,0.0007000000000000339,0.43400000000000005,0.98976,0.9715909090909091,0.9995333333333334,0.809375,0.93646,0.00029999999999996696,0.993803125,0.9641444444444445,0.9151533333333333
2024,0.9438,0.8031444444444444,0.94764,0.9102764705882352,0.3067,0.8977852941176471,0.010299999999999976,0.02529999999999999,0.9903818181818181,0.9739833333333333,0.9994705882352941,0.77666,0.9439,0.02190000000000003,0.9939151515151515,0.9656947368421053,0.91893125
